ship,name,age,year of arrival,fuzzy_name,match loc,lat,long
Abbigall,Elizabeth Pope,8,1621,Elizabeth Pope,"Fen Stanton, Huntingdon, England",52.30559249,-0.07694728616
Abigaile,Robert Penne,22,1620,Robert Penn,"Middleton Cheney, Northamptonshire, England",52.1,-1.25
Abigaile,Thomas Smith,17,not given,Thomas Smith,"Brampton, Northamptonshire, England",52.32039,-0.22007
Abigaile,Henery Bradford,35,not given,Henrye Bradford,"St Marys, Watford, Hertford, England",51.654563,-0.395923
Abigaile,Richard Townshend,19,1620,"Richard Townshend (this match pings the immigration records, which is why i'm adding it here) ","All Saints, Norwich, Norfolk, England",52.595252,1.267402
Abigaile,Thomas Wilson,27,1620,Thomas Wilson,"Mirfield, York, England",53.67343,-1.69636
Abigaile,Charles Waller,22,1620,Charles Waller,"Crowle, Lincoln, England",53.60735,-0.832108
Abigaile,Christopher Bankus,19,1622,Christopher Banks,"Dalton in Furness, Lacanshire, England",54.15,-3.16667
Abigaile,Roger Stanley,27,1622,Roger Stanlye,"Market Deeping, Lincoln, England",52.67848,-0.319665
Abigaile,Thomas Pritchard,28,1620,Thomas Pritchard,"Gloucestershire, England",51.864445,-2.244444
Abigaile,Henery Crocker,34,1620,Henry Croker,"St Giles in the Wood, Devon, England",50.950813,-4.089848
Abigaile,Thomas Crosse,22,1620,Thomas Crosse (Too many matches),"London, Lancashire, Cheshire",51.509865,-0.118092
Abigaile,John Trye,20,1620,,,,
Abigaile,Walter Beare,28,1620,,,,
Abigaile,Jane Davis,24,1622,Jane Davis,"Ilfracombe, Devon, England",51.2093,-4.11344
Abigaile,John Smith,30,not given,,,,
Abigaile ,Thomas Smith,16,not given,,,,
Abigaile ,Lawrence Smalepage,20,not given,,,,
Abigaile,John Canon,20,1622,John Canon,"Dacre, Cumberland, England",54.630716,-2.839551
Abigaile,Susan Blackwood,not given,1622,Susan Bulstrod,"Eton, Buckingham, England",51.48833,-0.60905
Abigaile ,Elizabeth Hodges,not given,not given,,,,
Abigall,Thomas Moreland,19,1621,Thomas Morland,"Bottesford, Lincoln, England",53.5499978,-0.6499974
Abigall,Ralph Hoode,19,1621,Raphe Hewode,"Yorkshire, England, Wath Parish",54.189551,-1.504969
Abigall,John Gibbes,24,1621,John Gibbes,"Thorncombe, Dorset, England",50.82519913,-2.88786319
Abigall,Edward Marshall,26,1621,Edward Marshall,"Wimpole, Cambridge, England",52.1411,-0.0498
Abigall,William Joyce,26,1621,Willm. Joyce,"Braughing, Hertford, England",51.8999964,0.0333332
Abigall,Niccolas Weasell,28,1621,,,,
Abigall,Reinould Godwin,30,1620, Reynold Goodyn,"Silsoe, Bedford, England",52.00964822,-0.42509343
Abigall,Samuell Morris,20,not given,Samuel Morrice,"Bromyard,Hereford,England",52.19019,-2.50875
Abigall,Thomas Doughtie,26,not given,Thomas Doughtie,"Boston, Lincoln, England",52.97633,-0.02664
Abigall,John Hasley,22,not given,John Hosley,"East Sussex, England",50.94,0.37
